DATE,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1
2017-01-03,108.2734375,108.3046875,108.328125,108.203125
2017-01-04,108.2734375,108.265625,108.28125,108.2265625
2017-01-05,108.390625,108.2734375,108.3984375,108.2578125
2017-01-06,108.2890625,108.3984375,108.4453125,108.265625
2017-01-09,108.359375,108.2890625,108.359375,108.2578125
2017-01-10,108.3515625,108.359375,108.3671875,108.3125
2017-01-11,108.3359375,108.3515625,108.4296875,108.3125
2017-01-12,108.375,108.34375,108.4453125,108.34375
2017-01-13,108.3359375,108.375,108.4375,108.265625
2017-01-17,108.4375,108.328125,108.4765625,108.328125
2017-01-18,108.2890625,108.4375,108.4375,108.2890625
2017-01-19,108.296875,108.2890625,108.3125,108.234375
2017-01-20,108.3515625,108.2890625,108.3828125,108.2578125
2017-01-23,108.46875,108.3515625,108.484375,108.34375
2017-01-24,108.359375,108.4765625,108.4765625,108.3515625
2017-01-25,108.3359375,108.3671875,108.3828125,108.3046875
2017-01-26,108.359375,108.34375,108.375,108.296875
2017-01-27,108.3671875,108.3515625,108.390625,108.328125
2017-01-30,108.375,108.3828125,108.40625,108.359375
2017-01-31,108.3984375,108.375,108.4375,108.3671875
2017-02-01,108.375,108.390625,108.40625,108.28125
2017-02-02,108.3984375,108.3828125,108.4296875,108.3671875
2017-02-03,108.4140625,108.3984375,108.4765625,108.3125
2017-02-06,108.5078125,108.4140625,108.515625,108.4140625
2017-02-07,108.4765625,108.515625,108.5390625,108.4609375
2017-02-08,108.5390625,108.4765625,108.546875,108.46875
2017-02-09,108.4609375,108.53125,108.5390625,108.4453125
2017-02-10,108.4375,108.4609375,108.46875,108.421875
2017-02-13,108.40625,108.4296875,108.4296875,108.3984375
2017-02-14,108.3359375,108.40625,108.421875,108.3125
2017-02-15,108.3046875,108.3359375,108.359375,108.28125
2017-02-16,108.390625,108.3046875,108.3984375,108.2890625
2017-02-17,108.453125,108.3828125,108.4609375,108.3671875
2017-02-21,108.4375,108.453125,108.453125,108.390625
2017-02-22,108.4609375,108.4375,108.5,108.3828125
2017-02-23,108.5390625,108.46875,108.546875,108.453125
2017-02-24,108.625,108.5390625,108.6328125,108.53125
2017-02-27,108.53125,108.6328125,108.640625,108.5078125
2017-02-28,108.3984375,108.5390625,108.5546875,108.375
2017-03-01,108.359375,108.390625,108.390625,108.3203125
2017-03-02,108.3046875,108.3671875,108.375,108.265625
2017-03-03,108.3203125,108.3046875,108.328125,108.265625
2017-03-06,108.3203125,108.3359375,108.359375,108.296875
2017-03-07,108.2890625,108.3203125,108.3359375,108.2734375
2017-03-08,108.2421875,108.2734375,108.2734375,108.203125
2017-03-09,108.2109375,108.21875,108.234375,108.2109375
2017-03-10,108.2578125,108.2265625,108.2578125,108.2109375
2017-03-13,108.2421875,108.2578125,108.28125,108.2265625
2017-03-14,108.234375,108.2265625,108.25,108.2265625
2017-03-15,108.3671875,108.234375,108.3671875,108.1953125
2017-03-16,108.3046875,108.3671875,108.375,108.3046875
2017-03-17,108.3359375,108.3359375,108.3515625,108.3359375
2017-03-20,108.3671875,108.3203125,108.3671875,108.3125
2017-03-21,108.4140625,108.3671875,108.4140625,108.3359375
2017-03-22,108.453125,108.46875,108.46875,108.453125
2017-03-23,108.4765625,108.4609375,108.4765625,108.4296875
2017-03-24,,,,
2017-03-27,108.5234375,108.5703125,108.5703125,108.5234375
2017-03-28,108.5,108.5,108.5,108.5
2017-03-29,,,,
2017-03-30,108.484375,108.4765625,108.484375,108.4765625
2017-03-31,,,,
2017-04-03,108.296875,108.2421875,108.3046875,108.1953125
2017-04-04,108.2421875,108.2890625,108.296875,108.2421875
2017-04-05,108.2890625,108.2421875,108.3046875,108.203125
2017-04-06,108.2578125,108.2890625,108.3046875,108.234375
2017-04-07,108.1796875,108.265625,108.390625,108.171875
2017-04-10,108.21875,108.1796875,108.2421875,108.15625
2017-04-11,108.3046875,108.2109375,108.328125,108.2109375
2017-04-12,108.375,108.3046875,108.3828125,108.265625
2017-04-13,108.359375,108.375,108.390625,108.3125
2017-04-17,108.3671875,108.390625,108.4375,108.359375
2017-04-18,108.4609375,108.375,108.4765625,108.3671875
2017-04-19,108.4296875,108.46875,108.46875,108.40625
2017-04-20,108.421875,108.4375,108.453125,108.3828125
2017-04-21,108.4296875,108.4296875,108.46875,108.40625
2017-04-24,108.3359375,108.3359375,108.3515625,108.2421875
2017-04-25,108.265625,108.3359375,108.34375,108.25
2017-04-26,108.3046875,108.265625,108.3125,108.2421875
2017-04-27,108.3203125,108.296875,108.3359375,108.28125
2017-04-28,108.3125,108.3203125,108.34375,108.2578125
2017-05-01,108.2890625,108.3046875,108.3203125,108.265625
2017-05-02,108.3203125,108.2890625,108.328125,108.2578125
2017-05-03,108.25,108.3203125,108.3203125,108.234375
2017-05-04,108.21875,108.25,108.2578125,108.1875
2017-05-05,108.2109375,108.2109375,108.2578125,108.15625
2017-05-08,108.1875,108.203125,108.234375,108.1640625
2017-05-09,108.1796875,108.1796875,108.203125,108.140625
2017-05-10,108.140625,108.171875,108.21875,108.140625
2017-05-11,108.1796875,108.140625,108.1875,108.1171875
2017-05-12,108.28125,108.1875,108.296875,108.1796875
2017-05-15,108.2734375,108.2890625,108.296875,108.2578125
2017-05-16,108.2734375,108.2734375,108.3046875,108.2421875
2017-05-17,108.3828125,108.2734375,108.40625,108.265625
2017-05-18,108.34375,108.390625,108.4375,108.3203125
2017-05-19,108.34375,108.34375,108.359375,108.296875
2017-05-22,108.3359375,108.328125,108.359375,108.3046875
2017-05-23,108.28125,108.3359375,108.3671875,108.2734375
2017-05-24,108.359375,108.28125,108.3671875,108.265625
2017-05-25,108.3203125,108.3515625,108.3671875,108.3203125
2017-05-26,108.3125,108.3203125,108.3515625,108.296875
2017-05-30,108.3359375,108.3125,108.34375,108.296875
2017-05-31,108.34375,108.328125,108.359375,108.3046875
2017-06-01,108.3125,108.3359375,108.3359375,108.2890625
2017-06-02,108.328125,108.3125,108.375,108.296875
2017-06-05,108.3046875,108.328125,108.3359375,108.3046875
2017-06-06,108.328125,108.3203125,108.359375,108.3203125
2017-06-07,108.3125,108.328125,108.3359375,108.296875
2017-06-08,108.3046875,108.3046875,108.3125,108.2734375
2017-06-09,108.28125,108.3203125,108.3203125,108.25
2017-06-12,108.2578125,108.265625,108.2890625,108.25
2017-06-13,108.25,108.2578125,108.265625,108.2421875
2017-06-14,108.3125,108.265625,108.40625,108.265625
2017-06-15,108.265625,108.296875,108.296875,108.25
2017-06-16,108.3046875,108.25,108.3125,108.25
2017-06-19,108.25,108.3046875,108.3046875,108.25
2017-06-20,108.2734375,108.2421875,108.28125,108.21875
2017-06-21,,,,
2017-06-22,108.265625,108.2578125,108.265625,108.2578125
2017-06-23,108.3046875,108.2890625,108.3046875,108.28125
2017-06-26,108.3046875,108.296875,108.3125,108.2734375
2017-06-27,,,,
2017-06-28,108.265625,108.2578125,108.296875,108.2578125
2017-06-29,108.328125,108.296875,108.3515625,108.2109375
2017-06-30,108.3671875,108.3671875,108.3671875,108.3671875
2017-07-03,107.984375,108.046875,108.0703125,107.9609375
2017-07-05,107.9921875,107.9921875,108.03125,107.953125
2017-07-06,108.0078125,108.0,108.0078125,107.9375
2017-07-07,108.0,108.0,108.046875,107.96875
2017-07-10,108.0234375,108.0,108.046875,107.9921875
2017-07-11,108.0625,108.0234375,108.0703125,108.0
2017-07-12,108.1328125,108.0625,108.1640625,108.0546875
2017-07-13,108.09375,108.1328125,108.1484375,108.078125
2017-07-14,108.109375,108.09375,108.1875,108.078125
2017-07-17,108.1171875,108.1015625,108.140625,108.1015625
2017-07-18,108.1328125,108.1171875,108.15625,108.109375
2017-07-19,108.125,108.1328125,108.1484375,108.1171875
2017-07-20,108.1328125,108.125,108.15625,108.1171875
2017-07-21,108.1640625,108.140625,108.171875,108.125
2017-07-24,108.140625,108.1640625,108.1796875,108.125
2017-07-25,108.078125,108.1328125,108.140625,108.0625
2017-07-26,108.15625,108.078125,108.1796875,108.0703125
2017-07-27,108.1484375,108.1640625,108.171875,108.125
2017-07-28,108.1796875,108.15625,108.1875,108.125
2017-07-31,108.15625,108.171875,108.1953125,108.15625
2017-08-01,108.1796875,108.1640625,108.1953125,108.140625
2017-08-02,108.1484375,108.1796875,108.1875,108.140625
2017-08-03,108.1953125,108.140625,108.2109375,108.140625
2017-08-04,108.1640625,108.1953125,108.1953125,108.1328125
2017-08-07,108.1640625,108.171875,108.171875,108.1328125
2017-08-08,108.171875,108.1640625,108.171875,108.1328125
2017-08-09,108.1796875,108.171875,108.234375,108.1640625
2017-08-10,108.203125,108.1875,108.2265625,108.1796875
2017-08-11,108.28125,108.203125,108.3046875,108.1953125
2017-08-14,108.2421875,108.28125,108.2890625,108.21875
2017-08-15,108.171875,108.2421875,108.2421875,108.1640625
2017-08-16,108.203125,108.171875,108.2265625,108.1484375
2017-08-17,108.2421875,108.2109375,108.25,108.1875
2017-08-18,108.25,108.2421875,108.2890625,108.21875
2017-08-21,108.2578125,108.2421875,108.28125,108.21875
2017-08-22,108.21875,108.2578125,108.265625,108.21875
2017-08-23,108.2734375,108.21875,108.2734375,108.2109375
2017-08-24,108.21875,108.265625,108.265625,108.2109375
2017-08-25,108.21875,108.21875,108.234375,108.1875
2017-08-28,108.234375,108.21875,108.2421875,108.203125
2017-08-29,108.2890625,108.2578125,108.328125,108.25
2017-08-30,108.265625,108.2890625,108.2890625,108.234375
2017-08-31,108.265625,108.2734375,108.296875,108.2421875
2017-09-01,108.234375,108.2734375,108.3125,108.21875
2017-09-05,108.3359375,108.28125,108.34375,108.265625
2017-09-06,108.3203125,108.34375,108.3515625,108.3125
2017-09-07,108.3984375,108.328125,108.3984375,108.328125
2017-09-08,108.3984375,108.421875,108.4296875,108.375
2017-09-11,108.296875,108.375,108.3828125,108.296875
2017-09-12,108.28125,108.3125,108.3125,108.265625
2017-09-13,108.2578125,108.2890625,108.3125,108.2578125
2017-09-14,108.2265625,108.265625,108.2734375,108.203125
2017-09-15,108.1796875,108.2578125,108.2578125,108.1796875
2017-09-18,108.1484375,108.1796875,108.1796875,108.1484375
2017-09-19,108.1484375,108.1796875,108.1796875,108.1484375
2017-09-20,108.0703125,108.171875,108.171875,108.0703125
2017-09-21,108.078125,108.078125,108.1015625,108.078125
2017-09-22,108.0859375,108.09375,108.1015625,108.0859375
2017-09-25,,,,
2017-09-26,108.09375,108.125,108.125,108.078125
2017-09-27,108.0703125,108.078125,108.078125,108.0546875
2017-09-28,108.09375,108.046875,108.09375,108.03125
2017-09-29,108.078125,108.0625,108.078125,108.0625
2017-10-02,107.828125,107.8203125,107.8515625,107.78125
2017-10-03,107.8515625,107.8203125,107.859375,107.8046875
2017-10-04,107.828125,107.84375,107.8828125,107.8125
2017-10-05,107.796875,107.8359375,107.84375,107.78125
2017-10-06,107.7734375,107.796875,107.8046875,107.734375
2017-10-09,107.7734375,107.78125,107.7890625,107.7578125
2017-10-10,107.765625,107.7734375,107.8046875,107.7578125
2017-10-11,107.7578125,107.765625,107.7890625,107.75
2017-10-12,107.7578125,107.75,107.7890625,107.7421875
2017-10-13,107.8046875,107.7578125,107.8203125,107.7265625
2017-10-16,107.703125,107.796875,107.796875,107.6953125
2017-10-17,107.703125,107.703125,107.7265625,107.671875
2017-10-18,107.6796875,107.6953125,107.703125,107.65625
2017-10-19,107.7578125,107.6796875,107.765625,107.671875
2017-10-20,107.6796875,107.7578125,107.7734375,107.6640625
2017-10-23,107.703125,107.671875,107.71875,107.65625
2017-10-24,107.671875,107.703125,107.71875,107.6640625
2017-10-25,107.6796875,107.671875,107.703125,107.6328125
2017-10-26,107.6328125,107.6875,107.7109375,107.625
2017-10-27,107.6953125,107.6328125,107.7109375,107.6015625
2017-10-30,107.71875,107.6875,107.7265625,107.6796875
2017-10-31,107.671875,107.71875,107.734375,107.6640625
2017-11-01,107.640625,107.671875,107.671875,107.6171875
2017-11-02,107.65625,107.6484375,107.6875,107.6328125
2017-11-03,107.640625,107.65625,107.703125,107.6015625
2017-11-06,107.640625,107.640625,107.6640625,107.625
2017-11-07,107.6171875,107.6328125,107.640625,107.6171875
2017-11-08,107.6015625,107.6171875,107.640625,107.59375
2017-11-09,107.625,107.6015625,107.640625,107.5859375
2017-11-10,107.59375,107.625,107.6328125,107.578125
2017-11-13,107.5390625,107.59375,107.609375,107.5234375
2017-11-14,107.5390625,107.53125,107.546875,107.5078125
2017-11-15,107.546875,107.5390625,107.59375,107.5234375
2017-11-16,107.4921875,107.5390625,107.546875,107.484375
2017-11-17,107.484375,107.4921875,107.5078125,107.46875
2017-11-20,107.4375,107.484375,107.5078125,107.4296875
2017-11-21,107.390625,107.4296875,107.4375,107.375
2017-11-22,107.4921875,107.390625,107.5,107.390625
2017-11-24,107.453125,107.4921875,107.5,107.453125
2017-11-27,107.4765625,107.4609375,107.4765625,107.4296875
2017-11-28,107.4609375,107.46875,107.5,107.4375
2017-11-29,107.421875,107.4609375,107.46875,107.3984375
2017-11-30,107.3828125,107.421875,107.4296875,107.3515625
2017-12-01,107.3984375,107.375,107.453125,107.3125
2017-12-04,107.3359375,107.359375,107.359375,107.3203125
2017-12-05,107.3046875,107.328125,107.3359375,107.28125
2017-12-06,107.3359375,107.3203125,107.3671875,107.3203125
2017-12-07,107.34375,107.3359375,107.3515625,107.328125
2017-12-08,107.3515625,107.328125,107.375,107.3125
2017-12-11,107.3125,107.3671875,107.3828125,107.3125
2017-12-12,107.3046875,107.3046875,107.3125,107.265625
2017-12-13,107.3046875,107.3203125,107.3359375,107.265625
2017-12-14,107.34375,107.3828125,107.3828125,107.3203125
2017-12-15,107.28125,107.3203125,107.3203125,107.28125
2017-12-18,107.3046875,107.2578125,107.3046875,107.2578125
2017-12-19,107.2578125,107.2734375,107.2734375,107.2578125
2017-12-20,107.2578125,107.2578125,107.2734375,107.2578125
2017-12-21,107.2265625,107.2421875,107.2421875,107.2265625
2017-12-22,107.2109375,107.21875,107.21875,107.2109375
2017-12-26,107.21875,107.1796875,107.21875,107.1796875
2017-12-27,107.25,107.2109375,107.2578125,107.2109375
2017-12-28,107.2578125,107.25,107.2578125,107.25
2017-12-29,,,,
2018-01-02,106.984375,107.046875,107.0546875,106.96875
2018-01-03,106.9609375,106.984375,107.0078125,106.953125
2018-01-04,106.9296875,106.953125,106.9609375,106.875
2018-01-05,106.90625,106.921875,106.96875,106.890625
2018-01-08,106.90625,106.8984375,106.9296875,106.890625
2018-01-09,106.8984375,106.90625,106.9453125,106.890625
2018-01-10,106.890625,106.8984375,106.921875,106.875
2018-01-11,106.8828125,106.890625,106.921875,106.875
2018-01-12,106.8359375,106.875,106.8828125,106.796875
2018-01-16,106.8046875,106.8359375,106.859375,106.7890625
2018-01-17,106.75,106.8125,106.8203125,106.75
2018-01-18,106.7578125,106.7578125,106.7734375,106.734375
2018-01-19,106.7265625,106.7578125,106.7734375,106.7265625
2018-01-22,106.734375,106.734375,106.7421875,106.703125
2018-01-23,106.78125,106.734375,106.7890625,106.7265625
2018-01-24,106.7421875,106.7890625,106.796875,106.7265625
2018-01-25,106.71875,106.7421875,106.765625,106.6796875
2018-01-26,106.6640625,106.71875,106.7265625,106.6328125
2018-01-29,106.6640625,106.6640625,106.6796875,106.5859375
2018-01-30,106.6640625,106.671875,106.6953125,106.625
2018-01-31,106.6171875,106.671875,106.703125,106.578125
2018-02-01,106.578125,106.609375,106.6328125,106.5625
2018-02-02,106.6015625,106.5703125,106.6328125,106.5390625
2018-02-05,106.8359375,106.609375,106.84375,106.59375
2018-02-06,106.6796875,106.828125,107.0078125,106.65625
2018-02-07,106.65625,106.671875,106.75,106.6015625
2018-02-08,106.6953125,106.65625,106.703125,106.609375
2018-02-09,106.7109375,106.6796875,106.8828125,106.640625
2018-02-12,106.6796875,106.71875,106.71875,106.640625
2018-02-13,106.671875,106.6796875,106.7109375,106.640625
2018-02-14,106.5390625,106.6640625,106.703125,106.5078125
2018-02-15,106.5078125,106.5390625,106.546875,106.453125
2018-02-16,106.5390625,106.5078125,106.5546875,106.4921875
2018-02-20,106.5,106.53125,106.546875,106.4375
2018-02-21,106.484375,106.4921875,106.5234375,106.453125
2018-02-22,106.5234375,106.4765625,106.53125,106.46875
2018-02-23,106.5390625,106.5234375,106.5859375,106.5078125
2018-02-26,106.5625,106.53125,106.59375,106.515625
2018-02-27,106.484375,106.5546875,106.5859375,106.4609375
2018-02-28,106.5078125,106.484375,106.515625,106.4453125
2018-03-01,106.5859375,106.515625,106.6171875,106.484375
2018-03-02,106.546875,106.59375,106.6328125,106.53125
2018-03-05,106.5390625,106.5546875,106.609375,106.5234375
2018-03-06,106.515625,106.53125,106.5703125,106.515625
2018-03-07,106.53125,106.546875,106.59375,106.515625
2018-03-08,106.546875,106.546875,106.5703125,106.53125
2018-03-09,106.5390625,106.5390625,106.546875,106.5
2018-03-12,106.5390625,106.5234375,106.546875,106.515625
2018-03-13,106.5625,106.53125,106.59375,106.53125
2018-03-14,106.5625,106.5703125,106.59375,106.5234375
2018-03-15,106.515625,106.578125,106.578125,106.5078125
2018-03-16,106.5078125,106.5078125,106.5390625,106.4921875
2018-03-19,106.4921875,106.5,106.5390625,106.4765625
2018-03-20,106.421875,106.4765625,106.484375,106.421875
