,Cumulative Return
2017-01-04,3.0
2017-01-05,4.126477259229869
2017-01-06,4.7469318914704495
2017-01-09,4.54230650775251
2017-01-10,4.476889544214355
2017-01-11,4.355580548803555
2017-01-12,4.634654666665011
2017-01-13,4.831227626320906
2017-01-17,5.807618255396374
2017-01-18,6.961075396644883
2017-01-19,6.7423097763862465
2017-01-20,7.0394479141291235
2017-01-23,8.09490613850765
2017-01-24,8.987119845366106
2017-01-25,9.113846126380377
2017-01-26,8.910013243923895
2017-01-27,8.96449374793563
2017-01-30,8.90710683553014
2017-01-31,9.408937484815834
2017-02-01,9.505475258778898
2017-02-02,9.450190284846467
2017-02-03,9.433070198258502
2017-02-06,10.270506465433282
2017-02-07,10.277652609046054
2017-02-08,10.98418123767122
2017-02-09,11.612429852395945
2017-02-10,11.71204820394858
2017-02-13,11.952521336820137
2017-02-14,12.551475360380646
2017-02-15,12.842309796864793
2017-02-16,13.442438555097834
2017-02-17,13.963130080638148
2017-02-21,14.02020548333756
2017-02-22,13.936005240861487
2017-02-23,14.560141990982157
2017-02-24,14.851151665381149
2017-02-27,15.388399141549126
2017-02-28,16.101328897929744
2017-03-01,16.88868888910245
2017-03-02,17.164922160099632
2017-03-03,17.15144688287135
2017-03-06,17.20922081196066
2017-03-07,17.0958383127613
2017-03-08,17.51911536767464
2017-03-09,18.02863952996584
2017-03-10,18.4464570899904
2017-03-13,18.78144341068717
2017-03-14,18.881873236870415
2017-03-15,20.36696144964979
2017-03-16,20.391477788714365
2017-03-17,20.700993370413453
2017-03-20,21.015520938646187
2017-03-21,21.538934465937455
2017-03-22,21.689607090232567
2017-03-23,22.09205748007251
2017-04-04,22.4953574245478
2017-04-05,22.26612006948879
2017-04-06,22.335783806690852
2017-04-07,23.082608359461556
2017-04-10,23.265120645115058
2017-04-11,22.51558529521888
2017-04-12,22.198496731990854
2017-04-13,22.141639566110353
2017-04-17,22.278559844187367
2017-04-18,23.298812471507954
2017-04-19,23.72336147370832
2017-04-20,23.880869582822452
2017-04-21,23.73795866995668
2017-04-24,23.962302071336563
2017-04-25,24.70463856140803
2017-04-26,24.91543879508343
2017-04-27,24.747568941296304
2017-04-28,24.746847113914082
2017-05-01,25.015484748727868
2017-05-02,24.80903323154733
2017-05-03,25.411730095016065
2017-05-04,25.49934109553531
2017-05-05,25.527575299114215
2017-05-08,25.865365434408414
2017-05-09,25.72451801432133
2017-05-10,25.766436279896407
2017-05-11,26.027011122466757
2017-05-12,26.861229838948457
2017-05-15,26.726643235451302
2017-05-16,26.597750038402847
2017-05-17,27.916798437508515
2017-05-18,27.904002823662704
2017-05-19,27.7783263891756
2017-05-22,27.920572762056945
2017-05-23,28.162449228955193
2017-05-24,28.67119983481778
2017-05-25,28.742732363665237
2017-05-26,28.7061620098825
2017-05-30,29.09115778285148
2017-05-31,28.986181161162204
2017-06-01,29.00897031780867
2017-06-02,29.513431094964726
2017-06-05,29.70060904175578
2017-06-06,30.035897736815496
2017-06-07,29.70066143097527
2017-06-08,29.692443141622316
2017-06-09,29.904403045216423
2017-06-12,29.99024239495655
2017-06-13,29.956741264660632
2017-06-14,30.7590977769464
2017-06-15,31.127026782476133
2017-06-16,30.93096268990801
2017-06-19,31.53750862855257
2017-06-20,31.458296961663546
2017-06-23,31.35598534327026
2017-06-26,31.299932099459948
2017-06-29,31.643235525978053
2017-06-30,31.94517175473764
2017-07-03,33.48535474021945
2017-07-05,33.590437890208236
2017-07-06,33.85960337909954
2017-07-07,34.024011310833416
2017-07-10,34.01628231531093
2017-07-11,34.15952463419261
2017-07-12,34.82048832097233
2017-07-13,34.804118544404886
2017-07-14,35.020697565825216
2017-07-17,35.166553518927216
2017-07-18,35.25886740415034
2017-07-19,35.338639434153706
2017-07-20,35.40082849115741
2017-07-21,35.701124123257145
2017-07-24,35.82665787586619
2017-07-25,36.7570699353996
2017-07-26,37.15862655810223
2017-07-27,37.35987689050988
2017-07-28,37.51810849162892
2017-07-31,37.51642906876985
2017-08-01,37.959427370939
2017-08-02,38.14114364354644
2017-08-03,38.57152255463187
2017-08-04,38.87880727301125
2017-08-07,38.88076501504291
2017-08-08,38.83715699067578
2017-08-09,38.88235807921045
2017-08-10,39.44796684653737
2017-08-11,39.681841753323155
2017-08-14,39.959391108148324
2017-08-15,40.67290676782612
2017-08-16,40.959345612807724
2017-08-17,41.25485671231762
2017-08-18,41.23540496327222
2017-08-21,41.167803070640716
2017-08-22,41.210628138929664
2017-08-23,41.130771343670844
2017-08-24,41.491418087929546
2017-08-25,41.354682473307534
2017-08-28,41.11165155314846
2017-08-29,41.405897835111304
2017-08-30,41.32775776864035
2017-08-31,41.115408780826314
2017-09-01,41.67680844255845
2017-09-05,42.852654277217866
2017-09-06,43.25597835971165
2017-09-07,43.94815492849919
2017-09-08,43.934839595911384
2017-09-11,44.71601595344144
2017-09-12,45.01805896467884
2017-09-13,45.24238463449181
2017-09-14,45.33764006266027
2017-09-15,45.21512237283058
2017-09-18,45.42437325602985
2017-09-19,45.58264618645079
2017-09-20,45.77396910752758
2017-09-21,46.528863324770995
2017-09-22,46.7357356450393
2017-09-27,47.2801523818507
2017-09-28,47.18698344098992
2017-09-29,47.42488329018123
2017-10-02,47.74312093293882
2017-10-03,47.93008888837538
2017-10-04,47.86306770796544
2017-10-05,48.171740749488876
2017-10-06,47.99532045713748
2017-10-10,47.95797379651229
2017-10-11,47.92928318015946
2017-10-12,48.2173461909715
2017-10-13,48.774734847700515
2017-10-16,49.13160268787941
2017-10-17,49.092578425190354
2017-10-18,49.51395606587356
2017-10-19,49.19692480785487
2017-10-20,50.03992893127905
2017-10-23,50.186829532556644
2017-10-24,50.656381009672245
2017-10-25,50.68199541297689
2017-10-26,51.08810494461976
2017-10-27,51.67280462192319
2017-10-30,52.09581132005586
2017-10-31,51.95270670338685
2017-11-01,51.85632994066144
2017-11-02,51.97988378669287
2017-11-03,52.0771369407248
2017-11-06,52.216455432158895
2017-11-07,52.15254056474258
2017-11-08,52.38416889144172
2017-11-09,52.313413118101366
2017-11-10,52.85938979368255
2017-11-13,53.07535815259506
2017-11-14,52.84377000043058
2017-11-15,53.1562000054855
2017-11-16,53.13848126788979
2017-11-17,52.855556278185745
2017-11-20,53.35657517549588
2017-11-21,53.442554592083965
2017-11-22,54.10471430320648
2017-11-27,54.26432092975482
2017-11-28,54.17187265823485
2017-11-29,53.790997068093915
2017-11-30,54.08410871417617
2017-12-01,54.040685110712715
2017-12-04,54.16350466512266
2017-12-05,54.09207219850394
2017-12-06,53.762023877688975
2017-12-07,53.799528069199354
2017-12-08,53.7053005235375
2017-12-11,53.763119352619455
2017-12-12,53.92109936870291
2017-12-13,54.536282198258036
2017-12-14,54.67639779414638
2017-12-15,54.790338517052064
2017-12-18,55.02821240644151
2017-12-19,55.820378953825625
2017-12-20,56.31550820177834
2017-12-21,56.274073547445354
2017-12-22,56.27095612720039
2018-01-03,56.261220284965006
2018-01-04,56.43446678877261
2018-01-05,56.68338868762747
2018-01-08,56.65955732199744
2018-01-09,57.29843473988966
2018-01-10,57.3025421793145
2018-01-11,57.23114439025902
2018-01-12,56.96994535969951
2018-01-16,56.878294963114044
2018-01-17,57.43871649979063
2018-01-18,57.32049215333335
2018-01-19,57.67963193536069
2018-01-22,57.659180388946865
2018-01-23,58.035826034306396
2018-01-24,58.25091148486625
2018-01-25,58.39881993322432
2018-01-26,58.94730561044797
2018-01-29,59.103283115241524
2018-01-30,59.34910731860235
2018-01-31,59.361995031170395
2018-02-01,60.188903068935346
2018-02-02,60.44357291986033
2018-02-05,62.22485421416148
2018-02-06,63.15439213677108
2018-02-07,62.93187551530808
2018-02-08,62.702189180578884
2018-02-09,62.840266422558656
2018-02-12,62.950929106868884
2018-02-13,62.690140005565794
2018-02-14,63.67570551509651
2018-02-15,63.437045536717946
2018-02-16,63.231488333914044
2018-02-20,63.031380042216355
2018-02-21,63.489224775011266
2018-02-22,63.78339321167822
2018-02-23,64.31880865783113
2018-02-26,64.382586299399
2018-02-27,64.84387338995383
2018-02-28,65.04867756478869
2018-03-01,65.85471162812699
2018-03-02,66.27650434740734
2018-03-05,66.35773146002701
2018-03-06,66.35797770730368
2018-03-07,66.33190674604064
2018-03-08,66.62722047000806
2018-03-09,66.77981278231981
2018-03-12,66.9469377494106
2018-03-13,66.74329258293527
2018-03-14,66.83299652558433
2018-03-15,66.76639520203842
2018-03-16,66.49326609507351
2018-03-19,66.44788145682922
2018-03-20,66.76606953785902
2018-03-21,67.21152280004843
2018-03-22,67.67231668265684
2018-03-23,67.9590725122407
2018-03-26,68.16035978462695
2018-03-27,68.68221822254507
2018-03-28,68.41964491842462
2018-03-29,68.38503012726231
2018-04-02,68.41262852274029
2018-04-03,68.96806981151256
2018-04-04,69.2781751485172
2018-04-05,69.47281332638612
2018-04-06,70.08310514826825
2018-04-09,69.92730001917606
2018-04-10,70.07002846103659
2018-04-11,70.15502748776724
2018-04-12,69.49160744481286
2018-04-13,69.3786928141353
2018-04-16,69.44104828916987
2018-04-17,69.48027406183336
2018-04-18,70.05744969363239
2018-04-19,69.98714554899287
2018-04-20,70.56319264073771
2018-04-23,70.39612766851586
2018-04-24,70.45431518934582
2018-04-25,70.61749567389869
2018-04-26,70.33108385007743
2018-04-27,70.42754992896606
2018-04-30,70.34584756039929
2018-05-01,70.47838066292842
2018-05-02,70.51826683485795
2018-05-03,70.52168037493628
2018-05-04,70.4853908848754
2018-05-07,70.459697798492
2018-05-08,70.77110481089129
2018-05-09,71.0974201697545
2018-05-10,71.1497966118777
2018-05-11,71.09207340145166
2018-05-14,71.29010324041973
2018-05-15,71.83731419117338
2018-05-16,72.00316338522042
2018-05-17,71.99595850381682
2018-05-18,72.5247354600733
2018-05-21,72.48504722399319
2018-05-22,72.43481215013979
2018-05-23,73.22957514523385
2018-05-24,73.38135681653601
2018-05-25,74.21618460750413
2018-05-30,73.2166818601845
2018-05-31,73.18115832613056
2018-06-01,73.85536597904955
2018-06-04,74.14972193262746
2018-06-05,74.35477200898548
2018-06-06,74.7738896725068
2018-06-07,75.17082809892689
2018-06-08,75.22776030379553
2018-06-11,75.3474108481614
2018-06-12,75.48822725597073
2018-06-13,75.74884793847103
2018-06-14,75.62223170823653
2018-06-15,75.73223862177927
2018-06-18,75.6757572936849
2018-06-19,75.96907216646012
2018-06-20,76.059504897662
2018-06-21,76.02742680951722
2018-06-22,75.96499626377134
2018-06-25,75.75902663535906
2018-06-26,75.70938713898884
2018-06-27,76.28491033105182
2018-06-28,76.21139916711489
2018-06-29,76.27064152589536
2018-07-02,76.88161619674882
2018-07-03,77.1711059400486
2018-07-06,77.24985092564837
2018-07-09,77.55568869843499
2018-07-10,77.48811184767054
2018-07-11,77.43268594111667
2018-07-12,77.38785943401398
2018-07-13,77.59477461560981
2018-07-16,77.88881905016841
2018-07-17,77.97921955784203
2018-07-18,77.84060567222421
2018-07-19,78.25306864793764
2018-07-20,78.59931238706575
2018-07-23,79.31028415269337
2018-07-24,79.31241857687654
2018-07-25,79.37910906932028
2018-07-26,79.3398208614244
2018-07-27,79.58628378163938
2018-07-30,79.47055598766109
2018-07-31,79.3797861761277
2018-08-01,79.74708090791044
2018-08-02,79.56509337537953
2018-08-03,79.98242005390146
2018-08-06,80.08241223833555
2018-08-07,80.41674549003163
2018-08-08,80.27849292550034
2018-08-09,79.91385744132366
2018-08-10,80.58159525871541
2018-08-13,80.50292517842989
2018-08-14,80.34643656729985
2018-08-15,80.76785224785361
2018-08-16,80.7199148057707
2018-08-17,80.73162828821022
2018-08-20,81.29775336463989
2018-08-21,81.26883056088171
2018-08-22,81.13949391831464
2018-08-23,81.3750821333151
2018-08-24,81.26637402430696
2018-08-27,81.68996142570448
2018-08-28,81.25644128930342
2018-08-29,81.3125800757907
2018-08-30,81.591827435338
2018-08-31,81.59225936330675
2018-09-04,81.93157853236242
2018-09-05,81.83058957433148
2018-09-06,81.37488816449239
2018-09-07,82.28859470473888
2018-09-10,82.22594599487546
2018-09-11,82.69206838650915
2018-09-12,82.67705860306795
2018-09-13,82.64374753428909
2018-09-14,82.9867276779032
2018-09-17,83.02256359570946
2018-09-18,83.64471727554972
2018-09-19,83.4324516159604
2018-09-20,83.49788728674228
2018-09-21,83.41847470429546
2018-09-24,83.48569296373806
2018-09-25,83.58006841378572
2018-09-26,83.92890673704731
2018-09-27,83.91474621152791
2018-10-02,83.99348100057158
2018-10-03,85.24083153313312
2018-10-04,85.1283278719411
2018-10-05,85.44902824497602
2018-10-10,85.9942311009281
2018-10-11,86.01349367513374
2018-10-12,86.02034501670913
2018-10-15,85.96929898331926
2018-10-16,85.84478884318285
2018-10-17,86.20333920221218
2018-10-18,86.3759614647124
2018-10-19,86.52338240516745
2018-10-22,86.39379083632865
2018-10-23,86.86340130233928
2018-10-24,87.74441678416677
2018-10-25,87.79981122505613
2018-10-26,87.38190071481857
2018-10-29,87.46733769994806
2018-10-30,87.90441638440005
2018-10-31,87.52489687198884
2018-11-01,87.20392712554074
2018-11-02,88.24305645771436
2018-11-05,88.23797816386558
2018-11-06,88.33841461850442
2018-11-07,88.06019872496016
2018-11-08,88.05255050234608
2018-11-09,88.6308644588489
2018-11-13,88.77080909124105
2018-11-14,88.84151113274037
2018-11-15,88.84136752966786
2018-11-16,89.54460294028739
2018-11-19,89.58383953637438
2018-11-20,89.44642272296822
2018-11-21,89.42694685290097
2018-11-23,89.16769549817307
2018-11-26,88.9398429003404
2018-11-27,88.92808487507044
2018-11-28,88.96599597724615
2018-11-29,89.11292622898235
2018-11-30,89.53521673475824
2018-12-03,89.4408563198658
